,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1285,2023-04-11,Edmonton Oilers,2,Colorado Avalanche,1,OT,18135,2:28,
1286,2023-04-11,Winnipeg Jets,3,Minnesota Wild,1,,19199,2:37,
1287,2023-04-11,Buffalo Sabres,2,New Jersey Devils,6,,16514,2:25,
1288,2023-04-11,Columbus Blue Jackets,3,Philadelphia Flyers,4,OT,19719,2:32,
1289,2023-04-11,Chicago Blackhawks,5,Pittsburgh Penguins,2,,18435,2:26,
1290,2023-04-11,Toronto Maple Leafs,4,Tampa Bay Lightning,3,,19092,2:38,
1291,2023-04-11,Seattle Kraken,1,Vegas Golden Knights,4,,18377,2:25,
1292,2023-04-12,San Jose Sharks,1,Calgary Flames,3,,17211,2:32,
1293,2023-04-12,Montreal Canadiens,2,New York Islanders,4,,17255,2:22,
1294,2023-04-12,Dallas Stars,5,St. Louis Blues,2,,18096,2:29,
1295,2023-04-13,Los Angeles Kings,5,Anaheim Ducks,3,,17174,2:34,
1296,2023-04-13,Vancouver Canucks,5,Arizona Coyotes,4,OT,4600,2:22,
1297,2023-04-13,Ottawa Senators,3,Buffalo Sabres,4,OT,16739,2:26,
1298,2023-04-13,Pittsburgh Penguins,2,Columbus Blue Jackets,3,OT,18369,2:20,
1299,2023-04-13,Philadelphia Flyers,5,Chicago Blackhawks,4,OT,20219,2:31,
1300,2023-04-13,Winnipeg Jets,2,Colorado Avalanche,4,,18137,2:28,
1301,2023-04-13,St. Louis Blues,0,Dallas Stars,1,,18532,2:20,
1302,2023-04-13,San Jose Sharks,2,Edmonton Oilers,5,,18347,2:23,
1303,2023-04-13,Carolina Hurricanes,6,Florida Panthers,4,,19160,2:29,
1304,2023-04-13,Boston Bruins,5,Montreal Canadiens,4,,21105,2:31,
1305,2023-04-13,Minnesota Wild,3,Nashville Predators,4,OT,17519,2:17,
1306,2023-04-13,Toronto Maple Leafs,3,New York Rangers,2,,17623,2:22,
1307,2023-04-13,Vegas Golden Knights,3,Seattle Kraken,1,,17151,2:32,
1308,2023-04-13,Detroit Red Wings,0,Tampa Bay Lightning,5,,19092,2:22,
1309,2023-04-13,New Jersey Devils,5,Washington Capitals,4,OT,18573,2:33,
1310,2023-04-14,Buffalo Sabres,5,Columbus Blue Jackets,2,,18786,2:15,
1311,2023-04-14,Colorado Avalanche,4,Nashville Predators,3,,17159,2:23,
1312,2023-04-17,New York Islanders,1,Carolina Hurricanes,2,,18680,2:36,
1313,2023-04-17,Minnesota Wild,3,Dallas Stars,2,2OT,18532,4:10,
1314,2023-04-17,Los Angeles Kings,4,Edmonton Oilers,3,OT,18347,3:09,
1315,2023-04-17,Florida Panthers,1,Boston Bruins,3,,17850,2:41,
1316,2023-04-18,Seattle Kraken,3,Colorado Avalanche,1,,18138,2:22,
1317,2023-04-18,New York Rangers,5,New Jersey Devils,1,,16514,2:39,
1318,2023-04-18,Tampa Bay Lightning,7,Toronto Maple Leafs,3,,19013,2:39,
1319,2023-04-18,Winnipeg Jets,5,Vegas Golden Knights,1,,18006,2:29,
1320,2023-04-19,Los Angeles Kings,2,Edmonton Oilers,4,,18347,2:29,
1321,2023-04-19,Minnesota Wild,3,Dallas Stars,7,,18532,2:40,
1322,2023-04-19,New York Islanders,3,Carolina Hurricanes,4,OT,18680,2:52,
1323,2023-04-19,Florida Panthers,6,Boston Bruins,3,,17850,2:53,
1324,2023-04-20,Seattle Kraken,2,Colorado Avalanche,3,,18141,2:31,
1325,2023-04-20,New York Rangers,5,New Jersey Devils,1,,16760,2:38,
1326,2023-04-20,Tampa Bay Lightning,2,Toronto Maple Leafs,7,,19128,2:48,
1327,2023-04-20,Winnipeg Jets,2,Vegas Golden Knights,5,,18333,2:38,
1328,2023-04-21,Boston Bruins,4,Florida Panthers,2,,19910,2:30,
1329,2023-04-21,Edmonton Oilers,2,Los Angeles Kings,3,OT,18230,2:58,
1330,2023-04-21,Dallas Stars,1,Minnesota Wild,5,,19309,2:35,
1331,2023-04-21,Carolina Hurricanes,1,New York Islanders,5,,17255,2:37,
1332,2023-04-22,Vegas Golden Knights,5,Winnipeg Jets,4,2OT,15324,3:39,
1333,2023-04-22,Toronto Maple Leafs,4,Tampa Bay Lightning,3,OT,19092,3:19,
1334,2023-04-22,Colorado Avalanche,6,Seattle Kraken,4,,17151,2:33,
1335,2023-04-22,New Jersey Devils,2,New York Rangers,1,OT,18006,2:59,
1336,2023-04-23,Edmonton Oilers,5,Los Angeles Kings,4,OT,18367,3:03,
1337,2023-04-23,Dallas Stars,3,Minnesota Wild,2,,19331,2:28,
1338,2023-04-23,Carolina Hurricanes,5,New York Islanders,2,,17255,2:36,
1339,2023-04-23,Boston Bruins,6,Florida Panthers,2,,19771,2:47,
1340,2023-04-24,New Jersey Devils,3,New York Rangers,1,,18006,2:29,
1341,2023-04-24,Colorado Avalanche,2,Seattle Kraken,3,OT,17151,2:59,
1342,2023-04-24,Toronto Maple Leafs,5,Tampa Bay Lightning,4,OT,19092,2:56,
1343,2023-04-24,Vegas Golden Knights,4,Winnipeg Jets,2,,15324,2:31,
1344,2023-04-25,Los Angeles Kings,3,Edmonton Oilers,6,,18347,2:28,
1345,2023-04-25,Minnesota Wild,0,Dallas Stars,4,,18532,2:29,
1346,2023-04-25,New York Islanders,3,Carolina Hurricanes,2,,18680,2:40,
1347,2023-04-26,Florida Panthers,4,Boston Bruins,3,OT,17850,3:02,
1348,2023-04-26,Seattle Kraken,3,Colorado Avalanche,2,,18143,2:29,
1349,2023-04-27,New York Rangers,0,New Jersey Devils,4,,17114,2:25,
1350,2023-04-27,Tampa Bay Lightning,4,Toronto Maple Leafs,2,,19663,2:35,
1351,2023-04-27,Winnipeg Jets,1,Vegas Golden Knights,4,,18476,2:36,
1352,2023-04-28,Boston Bruins,5,Florida Panthers,7,,18911,2:38,
1353,2023-04-28,Dallas Stars,4,Minnesota Wild,1,,19389,2:23,
1354,2023-04-28,Carolina Hurricanes,2,New York Islanders,1,OT,17255,2:52,
1355,2023-04-28,Colorado Avalanche,4,Seattle Kraken,1,,17151,2:31,
1356,2023-04-29,Toronto Maple Leafs,2,Tampa Bay Lightning,1,OT,19092,2:46,
1357,2023-04-29,Edmonton Oilers,5,Los Angeles Kings,4,,18230,2:31,
1358,2023-04-29,New Jersey Devils,2,New York Rangers,5,,18006,2:27,
1359,2023-04-30,Florida Panthers,4,Boston Bruins,3,OT,17850,3:10,
1360,2023-04-30,Seattle Kraken,2,Colorado Avalanche,1,,18143,2:33,
1361,2023-05-01,New York Rangers,0,New Jersey Devils,4,,17241,2:26,
1362,2023-05-02,Seattle Kraken,5,Dallas Stars,4,OT,18532,3:07,
1363,2023-05-02,Florida Panthers,4,Toronto Maple Leafs,2,,19244,2:35,
1364,2023-05-03,New Jersey Devils,1,Carolina Hurricanes,5,,18735,2:26,
1365,2023-05-03,Edmonton Oilers,4,Vegas Golden Knights,6,,18243,2:36,
1366,2023-05-04,Seattle Kraken,2,Dallas Stars,4,,18532,2:32,
1367,2023-05-04,Florida Panthers,3,Toronto Maple Leafs,2,,19387,2:32,
1368,2023-05-05,New Jersey Devils,1,Carolina Hurricanes,6,,18982,2:31,
1369,2023-05-06,Edmonton Oilers,5,Vegas Golden Knights,1,,18504,2:50,
1370,2023-05-07,Toronto Maple Leafs,2,Florida Panthers,3,OT,19911,2:48,
1371,2023-05-07,Carolina Hurricanes,4,New Jersey Devils,8,,16514,2:27,
1372,2023-05-07,Dallas Stars,2,Seattle Kraken,7,,17151,2:34,
1373,2023-05-08,Vegas Golden Knights,5,Edmonton Oilers,1,,18347,2:39,
1374,2023-05-09,Carolina Hurricanes,6,New Jersey Devils,1,,17016,2:25,
1375,2023-05-09,Dallas Stars,6,Seattle Kraken,3,,17151,2:36,
1376,2023-05-10,Vegas Golden Knights,1,Edmonton Oilers,4,,18347,2:38,
1377,2023-05-10,Toronto Maple Leafs,2,Florida Panthers,1,,19868,2:21,
1378,2023-05-11,Seattle Kraken,2,Dallas Stars,5,,18532,2:28,
1379,2023-05-11,New Jersey Devils,2,Carolina Hurricanes,3,OT,18841,3:00,
1380,2023-05-12,Florida Panthers,3,Toronto Maple Leafs,2,OT,19513,3:22,
1381,2023-05-12,Edmonton Oilers,3,Vegas Golden Knights,4,,18519,2:40,
1382,2023-05-13,Dallas Stars,3,Seattle Kraken,6,,17151,2:37,
1383,2023-05-14,Vegas Golden Knights,5,Edmonton Oilers,2,,18347,2:27,
1384,2023-05-15,Seattle Kraken,1,Dallas Stars,2,,18756,2:21,
1385,2023-05-18,Florida Panthers,3,Carolina Hurricanes,2,4OT,18680,5:44,
1386,2023-05-19,Dallas Stars,3,Vegas Golden Knights,4,OT,18271,2:51,
1387,2023-05-20,Florida Panthers,2,Carolina Hurricanes,1,OT,18854,2:54,
1388,2023-05-21,Dallas Stars,2,Vegas Golden Knights,3,OT,18358,2:47,
1389,2023-05-22,Carolina Hurricanes,0,Florida Panthers,1,,19873,2:34,
1390,2023-05-23,Vegas Golden Knights,4,Dallas Stars,0,,18532,2:29,
1391,2023-05-24,Carolina Hurricanes,3,Florida Panthers,4,,20065,2:37,
1392,2023-05-25,Vegas Golden Knights,2,Dallas Stars,3,OT,18532,2:41,
1393,2023-05-27,Dallas Stars,4,Vegas Golden Knights,2,,18546,2:26,
1394,2023-05-29,Vegas Golden Knights,6,Dallas Stars,0,,18532,2:20,
1395,2023-06-03,Florida Panthers,2,Vegas Golden Knights,5,,18432,2:46,
1396,2023-06-05,Florida Panthers,2,Vegas Golden Knights,7,,18561,2:42,
1397,2023-06-08,Vegas Golden Knights,2,Florida Panthers,3,OT,19735,2:59,
1398,2023-06-10,Vegas Golden Knights,3,Florida Panthers,2,,19986,2:38,
1399,2023-06-13,Florida Panthers,3,Vegas Golden Knights,9,,19058,2:35,
