date,away_team_id,away_goals,home_team_id,home_goals,length_of_game_min,updated_at
2021-01-13,St. Louis Blues,4,Colorado Avalanche,1,144,2023-09-25
2021-01-13,Vancouver Canucks,5,Edmonton Oilers,3,144,2023-09-25
2021-01-13,Pittsburgh Penguins,3,Philadelphia Flyers,6,141,2023-09-25
2021-01-13,Chicago Blackhawks,1,Tampa Bay Lightning,5,146,2023-09-25
2021-01-13,Montreal Canadiens,4,Toronto Maple Leafs,5,158,2023-09-25
2021-01-14,San Jose Sharks,4,Arizona Coyotes,3,157,2023-09-25
2021-01-14,Washington Capitals,6,Buffalo Sabres,4,143,2023-09-25
2021-01-14,Carolina Hurricanes,3,Detroit Red Wings,0,145,2023-09-25
2021-01-14,Vancouver Canucks,2,Edmonton Oilers,5,150,2023-09-25
2021-01-14,Minnesota Wild,4,Los Angeles Kings,3,157,2023-09-25
2021-01-14,Boston Bruins,3,New Jersey Devils,2,163,2023-09-25
2021-01-14,Columbus Blue Jackets,1,Nashville Predators,3,149,2023-09-25
2021-01-14,New York Islanders,4,New York Rangers,0,150,2023-09-25
2021-01-14,Anaheim Ducks,2,Vegas Golden Knights,5,144,2023-09-25
2021-01-14,Calgary Flames,3,Winnipeg Jets,4,146,2023-09-25
2021-01-15,Washington Capitals,2,Buffalo Sabres,1,137,2023-09-25
2021-01-15,St. Louis Blues,0,Colorado Avalanche,8,151,2023-09-25
2021-01-15,Toronto Maple Leafs,3,Ottawa Senators,5,148,2023-09-25
2021-01-15,Pittsburgh Penguins,2,Philadelphia Flyers,5,143,2023-09-25
2021-01-15,Chicago Blackhawks,2,Tampa Bay Lightning,5,143,2023-09-25
2021-01-16,San Jose Sharks,3,Arizona Coyotes,5,142,2023-09-25
2021-01-16,Vancouver Canucks,0,Calgary Flames,3,144,2023-09-25
2021-01-16,Carolina Hurricanes,2,Detroit Red Wings,4,148,2023-09-25
2021-01-16,Montreal Canadiens,5,Edmonton Oilers,1,140,2023-09-25
2021-01-16,Minnesota Wild,4,Los Angeles Kings,3,162,2023-09-25
2021-01-16,Boston Bruins,1,New Jersey Devils,2,154,2023-09-25
2021-01-16,Columbus Blue Jackets,2,Nashville Predators,5,148,2023-09-25
2021-01-16,New York Islanders,0,New York Rangers,5,161,2023-09-25
2021-01-16,Toronto Maple Leafs,3,Ottawa Senators,2,143,2023-09-25
2021-01-16,Anaheim Ducks,1,Vegas Golden Knights,2,138,2023-09-25
2021-01-17,Chicago Blackhawks,2,Florida Panthers,5,147,2023-09-25
2021-01-17,Washington Capitals,3,Pittsburgh Penguins,4,160,2023-09-25
2021-01-18,Minnesota Wild,0,Anaheim Ducks,1,148,2023-09-25
2021-01-18,Vancouver Canucks,2,Calgary Flames,5,141,2023-09-25
2021-01-18,Columbus Blue Jackets,3,Detroit Red Wings,2,157,2023-09-25
2021-01-18,Montreal Canadiens,3,Edmonton Oilers,1,146,2023-09-25
2021-01-18,Carolina Hurricanes,4,Nashville Predators,2,142,2023-09-25
2021-01-18,Boston Bruins,0,New York Islanders,1,146,2023-09-25
2021-01-18,Buffalo Sabres,6,Philadelphia Flyers,1,146,2023-09-25
2021-01-18,San Jose Sharks,4,St. Louis Blues,5,152,2023-09-25
2021-01-18,Winnipeg Jets,1,Toronto Maple Leafs,3,140,2023-09-25
2021-01-18,Arizona Coyotes,2,Vegas Golden Knights,4,153,2023-09-25
2021-01-19,Columbus Blue Jackets,2,Detroit Red Wings,3,141,2023-09-25
2021-01-19,Chicago Blackhawks,4,Florida Panthers,5,154,2023-09-25
2021-01-19,Colorado Avalanche,3,Los Angeles Kings,2,147,2023-09-25
2021-01-19,New Jersey Devils,4,New York Rangers,3,150,2023-09-25
2021-01-19,Winnipeg Jets,4,Ottawa Senators,3,149,2023-09-25
2021-01-19,Buffalo Sabres,0,Philadelphia Flyers,3,149,2023-09-25
2021-01-19,Washington Capitals,4,Pittsburgh Penguins,5,154,2023-09-25
2021-01-20,Minnesota Wild,3,Anaheim Ducks,2,153,2023-09-25
2021-01-20,San Jose Sharks,2,St. Louis Blues,1,156,2023-09-25
2021-01-20,Edmonton Oilers,3,Toronto Maple Leafs,1,137,2023-09-25
2021-01-20,Montreal Canadiens,5,Vancouver Canucks,6,151,2023-09-25
2021-01-20,Arizona Coyotes,2,Vegas Golden Knights,5,144,2023-09-25
2021-01-21,Philadelphia Flyers,4,Boston Bruins,5,166,2023-09-25
2021-01-21,Tampa Bay Lightning,3,Columbus Blue Jackets,2,149,2023-09-25
2021-01-21,Colorado Avalanche,2,Los Angeles Kings,4,145,2023-09-25
2021-01-21,New Jersey Devils,1,New York Islanders,4,145,2023-09-25
2021-01-21,Winnipeg Jets,4,Ottawa Senators,1,145,2023-09-25
2021-01-21,Montreal Canadiens,7,Vancouver Canucks,3,151,2023-09-25
2021-01-22,Colorado Avalanche,3,Anaheim Ducks,2,155,2023-09-25
2021-01-22,Vegas Golden Knights,2,Arizona Coyotes,5,141,2023-09-25
2021-01-22,Detroit Red Wings,1,Chicago Blackhawks,4,137,2023-09-25
2021-01-22,Nashville Predators,0,Dallas Stars,7,152,2023-09-25
2021-01-22,San Jose Sharks,1,Minnesota Wild,4,148,2023-09-25
2021-01-22,New York Rangers,3,Pittsburgh Penguins,4,147,2023-09-25
2021-01-22,Edmonton Oilers,2,Toronto Maple Leafs,4,141,2023-09-25
2021-01-22,Buffalo Sabres,3,Washington Capitals,4,159,2023-09-25
2021-01-23,Philadelphia Flyers,1,Boston Bruins,6,146,2023-09-25
2021-01-23,Tampa Bay Lightning,2,Columbus Blue Jackets,5,146,2023-09-25
2021-01-23,Los Angeles Kings,2,St. Louis Blues,4,147,2023-09-25
2021-01-23,Montreal Canadiens,5,Vancouver Canucks,2,149,2023-09-25
2021-01-23,Ottawa Senators,3,Winnipeg Jets,6,147,2023-09-25
2021-01-24,Colorado Avalanche,1,Anaheim Ducks,3,139,2023-09-25
2021-01-24,Vegas Golden Knights,1,Arizona Coyotes,0,137,2023-09-25
2021-01-24,Toronto Maple Leafs,3,Calgary Flames,2,142,2023-09-25
2021-01-24,Detroit Red Wings,2,Chicago Blackhawks,6,131,2023-09-25
2021-01-24,Nashville Predators,2,Dallas Stars,3,148,2023-09-25
2021-01-24,San Jose Sharks,5,Minnesota Wild,3,156,2023-09-25
2021-01-24,New York Islanders,0,New Jersey Devils,2,144,2023-09-25
2021-01-24,New York Rangers,2,Pittsburgh Penguins,3,145,2023-09-25
2021-01-24,Los Angeles Kings,6,St. Louis Blues,3,148,2023-09-25
2021-01-24,Edmonton Oilers,4,Winnipeg Jets,3,147,2023-09-25
2021-01-24,Buffalo Sabres,4,Washington Capitals,3,164,2023-09-25
2021-01-25,Ottawa Senators,1,Vancouver Canucks,7,150,2023-09-25
2021-01-26,Anaheim Ducks,1,Arizona Coyotes,0,145,2023-09-25
2021-01-26,Pittsburgh Penguins,2,Boston Bruins,3,160,2023-09-25
2021-01-26,New York Rangers,2,Buffalo Sabres,3,142,2023-09-25
